date,btc_close,mstr_close,btc_nav_total,btc_nav_per_share,mnav,premium_to_nav,premium_to_nav_pct,mnav_30d_ma,premium_30d_ma
2024-02-09,47147.199219,64.632004,24902443419.35547,101.229445,0.63847,-0.36153,-36.15296,0.5714,-0.4286
2024-02-12,49958.222656,71.751999,26387183833.691406,107.264975,0.668923,-0.331077,-33.107709,0.574763,-0.425237
2024-02-13,49742.441406,68.601997,26273211414.160156,106.801672,0.642331,-0.357669,-35.766926,0.577016,-0.422984
2024-02-14,51826.695312,76.987999,27374083063.632812,111.27676,0.691861,-0.308139,-30.813947,0.576418,-0.423582
2024-02-15,51938.554688,71.800003,27433165507.617188,111.516933,0.643848,-0.356152,-35.615156,0.575015,-0.424985
2024-02-16,52160.203125,69.956001,27550236887.578125,111.992833,0.624647,-0.375353,-37.535287,0.572791,-0.427209
2024-02-20,52284.875,70.498001,27616086701.875,112.260515,0.627986,-0.372014,-37.201427,0.571539,-0.428461
2024-02-21,51839.179688,67.279999,27380677123.242188,111.303566,0.604473,-0.395527,-39.552701,0.571923,-0.428077
2024-02-22,51304.972656,71.315002,27098516982.441406,110.156573,0.647397,-0.352603,-35.26033,0.574078,-0.425922
2024-02-23,50731.949219,68.744003,26795854598.10547,108.926238,0.631106,-0.368894,-36.889399,0.576281,-0.423719
2024-02-26,54522.402344,79.648003,28797915081.933594,117.064695,0.680376,-0.319624,-31.962406,0.581008,-0.418992
2024-02-27,57085.371094,87.18,30151636731.152344,122.567629,0.711281,-0.288719,-28.871921,0.587128,-0.412872
2024-02-28,62504.789062,96.294998,33014092010.976562,134.203626,0.717529,-0.282471,-28.247097,0.5937,-0.4063
2024-02-29,61198.382812,102.283997,32324067825.820312,131.39865,0.778425,-0.221575,-22.157498,0.601523,-0.398477
2024-03-01,62440.632812,107.939003,32980205642.070312,134.065877,0.805119,-0.194881,-19.488086,0.610052,-0.389948
2024-03-04,68330.414062,133.401001,36091099751.60156,146.711788,0.909273,-0.090727,-9.072745,0.622419,-0.377581
2024-03-05,63801.199219,105.100998,33698836409.35547,136.98714,0.767233,-0.232767,-23.276741,0.629516,-0.370484
2024-03-06,66106.804688,124.621002,34916622633.86719,141.93749,0.877999,-0.122001,-12.200081,0.641243,-0.358757
2024-03-07,66925.484375,130.001999,35349036964.609375,143.695272,0.904706,-0.095294,-9.529383,0.653929,-0.346071
2024-03-08,68300.09375,142.559006,36075085017.34375,146.646687,0.972126,-0.027874,-2.787435,0.668536,-0.331464
2024-03-11,72123.90625,148.423004,38094765422.65625,154.85677,0.958453,-0.041547,-4.154656,0.682126,-0.317874
2024-03-12,71481.289062,159.335007,37755344663.47656,153.477011,1.038169,0.038169,3.816856,0.698305,-0.301695
2024-03-13,73083.5,176.615005,38601608447.5,156.917108,1.125531,0.125531,12.55306,0.717045,-0.282955
2024-03-14,71396.59375,167.684998,37710609869.84375,153.295162,1.09387,0.09387,9.387012,0.735234,-0.264766
2024-03-15,69403.773438,178.235992,36658032073.08594,149.016391,1.196083,0.196083,19.608314,0.756958,-0.243042
2024-03-18,67548.59375,150.276001,35678153989.84375,145.033146,1.036149,0.036149,3.614935,0.773518,-0.226482
2024-03-19,61912.773438,141.75,32701398238.085938,132.932513,1.066331,0.066331,6.633055,0.791208,-0.208792
2024-03-20,67913.671875,154.651993,35870982779.296875,145.817003,1.06059,0.06059,6.058957,0.808616,-0.191384
2024-03-21,65491.390625,159.929001,34591570157.265625,140.616139,1.137345,0.137345,13.734456,0.828732,-0.171268
2024-03-22,63778.761719,152.300003,33686985258.41797,136.938964,1.112174,0.112174,11.217434,0.84566,-0.15434
2024-03-25,69958.8125,185.600006,36951195380.31249,150.208111,1.235619,0.235619,23.561907,0.865565,-0.134435
2024-03-26,69987.835938,187.699005,36966525124.64844,150.270427,1.249075,0.249075,24.907481,0.884903,-0.115097
2024-03-27,69455.34375,191.916,36685270738.59375,149.127117,1.286929,0.286929,28.692893,0.90639,-0.09361
2024-03-28,70744.953125,170.455994,37366423066.328125,151.896029,1.122189,0.122189,12.218861,0.920734,-0.079266
